Order,Material description,Material Number,Batch,Order quantity (GMEIN),Delivered quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,MRP controller,System Status,Actual finish date,Long txt exists
1030722,U-VAN 20LS65A,ENR20L65A-DR000200,CH9014,"6,459.00",0,KG,2019-08-24,2019-08-26,F01,REL  PRC  BASC BCRQ GMPS MANC SETC,,
1030793,OLESTER QR331T,ENJQR331T-DR000200,CH9024,"6,492.00",0,KG,2019-08-24,2019-08-26,F01,REL  PRC  BASC BCRQ GMPS MANC SETC,,
1030794,OLESTER QC418HT,ENJQC418H-DR000200,CH9021,"6,920.80",0,KG,2019-08-24,2019-08-26,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030795,OLESTER QC418HT,ENJQC418H-DR000200,CH9022,"6,920.80",0,KG,2019-08-25,2019-08-27,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030796,U-VAN 225,ENR225000-DR000200,,"4,836.20",0,KG,2019-08-25,2019-08-27,F01,REL  PRC  BCRQ GMPS MANC SETC,,
1030797,OLESTER QC418HT,ENJQC418H-DR000200,CH9023,"6,920.80",0,KG,2019-08-26,2019-08-28,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030800,U-VAN 28-60,ENR286000-DR000200,CH9034,"3,708.00",0,KG,2019-08-26,2019-08-28,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030802,U-VAN 20N60,ENR20N600-DR000200,CH9121,"8,573.00",0,KG,2019-08-26,2019-08-28,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030806,ALMATEX P662BT,ENFP662BT-DR000200,CH9003,800,0,KG,2019-08-26,2019-08-28,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030866,U-VAN 20AT,ENR20AT00-DR000200,CH9005,"1,200.00","1,200.00",KG,2019-08-27,2019-08-28,F01,REL  CNF  DLV  PRC  BASC BCRQ GMPS MANC*,,
1030803,OLESTER QC418HT,ENJQC418H-DR000200,CH9024,"6,920.80",0,KG,2019-08-27,2019-08-29,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030804,U-VAN 28-60,ENR286000-DR000200,CH9035,"3,708.00",0,KG,2019-08-27,2019-08-29,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030805,U-VAN 20N60,ENR20N600-DR000200,CH9122,"8,573.00",0,KG,2019-08-27,2019-08-29,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030870,POLYMAL R141,RKPR14100-DR000160,CH9025,145,0,KG,2019-08-27,2019-08-28,F01,REL  PRC  BASC BCRQ GMPS MANC SETC,,
1030860,OLESTER AO-529,ENJAO5290-DR000200,CH9014,"7,148.90",0,KG,2019-08-28,2019-08-30,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030861,U-VAN 36T,ENR36T000-DR000200,CH9008,"4,346.90",0,KG,2019-08-28,2019-08-30,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030862,U-VAN MB20T,ENRMB20T0-DR000200,CH9010,"7,484.78",0,KG,2019-08-28,2019-08-30,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030871,PROMINATE BMST-610CT,RKBB610CT-PB000120,CH9084,"4,000.00",0,KG,2019-08-28,2019-08-29,F01,REL  PRC  BASC BCRQ MANC SETC,,
1030872,PROMINATE BMST-610CT,RKBB610CT-PB000120,CH9085,"4,000.00",0,KG,2019-08-30,2019-08-31,F01,REL  PRC  BASC BCRQ MANC SETC,,
